ID,IPO Date,Symbol,Company Name,IPO Price,Current,Return
47,"Dec 7, 2021",JWAC,Jupiter Wellness Acquisition,$10.00,$10.04,0.40%
48,"Dec 7, 2021",MTVC,Motive Capital Corp II,$10.00,$10.00,0.00%
49,"Dec 7, 2021",DAOO,Crypto 1 Acquisition,$10.00,$10.08,0.80%
50,"Dec 7, 2021",GLLI,Globalink Investment,$10.00,$10.18,1.80%
51,"Dec 3, 2021",BIOS,BioPlus Acquisition,$10.00,$10.01,0.10%
52,"Dec 3, 2021",BOCN,Blue Ocean Acquisition,$10.00,$10.02,0.20%
53,"Dec 3, 2021",STET,ST Energy Transition I,$10.00,$9.98,-0.20%
54,"Dec 3, 2021",BPAC,Bullpen Parlay Acquisition Company,$10.00,$10.05,0.50%
55,"Dec 2, 2021",ROC,ROC Energy Acquisition,$10.00,$10.05,0.50%
56,"Dec 2, 2021",UTAA,UTA Acquisition,$10.00,$10.02,0.20%
57,"Dec 2, 2021",GEEX,Games & Esports Experience Acquisition,$10.00,$10.14,1.40%
58,"Dec 1, 2021",CMCA,Capitalworks Emerging Markets Acquisition,$10.00,$10.11,1.05%
59,"Dec 1, 2021",ROCL,Roth CH Acquisition V Co.,$10.00,$9.99,-0.15%
60,"Dec 1, 2021",PACI,PROOF Acquisition I,$10.00,$10.02,0.20%
61,"Dec 1, 2021",TLGY,TLGY Acquisition,$10.00,$10.09,0.90%
62,"Nov 30, 2021",CNGL,Canna-Global Acquisition,$10.00,$10.11,1.10%
63,"Nov 24, 2021",MNTN,Everest Consolidator Acquisition,$10.00,$10.07,0.65%
64,"Nov 24, 2021",BRD,Beard Energy Transition Acquisition,$10.00,$10.07,0.70%
65,"Nov 24, 2021",AERC,AeroClean Technologies,$10.00,$11.89,18.90%
66,"Nov 23, 2021",VHNA,Vahanna Tech Edge Acquisition I,$10.00,$10.07,0.70%
67,"Nov 23, 2021",MAAQ,Mana Capital Acquisition,$10.00,$10.25,2.50%
68,"Nov 22, 2021",LGTO,Legato Merger II,$10.00,$10.01,0.10%
69,"Nov 22, 2021",LAX,8i Acquisition 2,$10.00,$10.37,3.65%
70,"Nov 19, 2021",AHI,Advanced Human Imaging,$10.50,$5.03,-52.10%
71,"Nov 19, 2021",NFNT,Infinite Acquisition,$10.00,$10.04,0.40%
72,"Nov 19, 2021",ALOR,ALSP Orchid Acquisition I,$10.00,$10.04,0.37%
73,"Nov 19, 2021",LITM,Snow Lake Resources,$7.50,$4.86,-35.20%
74,"Nov 19, 2021",IFIN,InFinT Acquisition,$10.00,$10.06,0.60%
75,"Nov 19, 2021",ZING,FTAC Zeus Acquisition,$10.00,$10.04,0.40%
76,"Nov 19, 2021",CREC,Crescera Capital Acquisition,$10.00,$10.02,0.20%
77,"Nov 19, 2021",FINW,FinWise Bancorp,$10.50,$13.43,27.90%
78,"Nov 18, 2021",ARIZ,Arisz Acquisition,$10.00,$10.08,0.80%
79,"Nov 18, 2021",SG,Sweetgreen,$28.00,$28.80,2.86%
80,"Nov 18, 2021",BLEU,bleuacacia ltd.,$10.00,$10.04,0.40%
81,"Nov 17, 2021",USER,UserTesting,$14.00,$8.22,-41.29%
82,"Nov 17, 2021",IREN,Iris Energy,$28.00,$17.97,-35.82%
83,"Nov 17, 2021",SEV,Sono Group,$15.00,$10.42,-30.53%
84,"Nov 17, 2021",LFAC,LF Capital Acquisition II,$10.00,$10.10,1.00%
85,"Nov 17, 2021",SGII,Seaport Global Acquisition II,$10.00,$10.04,0.40%
86,"Nov 17, 2021",SUAC,ShoulderUp Technology Acquisition,$10.00,$10.03,0.25%
87,"Nov 17, 2021",BRZE,Braze,$65.00,$75.95,16.85%
88,"Nov 17, 2021",NETC,Nabors Energy Transition,$10.00,$10.14,1.40%
89,"Nov 16, 2021",ENCP,Energem,$10.00,$10.15,1.50%
90,"Nov 15, 2021",ONL,Orion Office REIT,$0.00,$18.96,0.00%
91,"Nov 12, 2021",DERM,Journey Medical,$10.00,$6.74,-32.60%
92,"Nov 12, 2021",MCAG,Mountain Crest Acquisition V,$10.00,$10.12,1.20%
93,"Nov 12, 2021",BTBD,BT Brands,$5.00,$3.58,-28.40%
94,"Nov 12, 2021",MYNA,Mynaric AG,$17.48,$13.71,-21.57%
95,"Nov 12, 2021",IRRX,Integrated Rail & Resources Acquisition,$10.00,$9.99,-0.10%
96,"Nov 11, 2021",VAXX,Vaxxinity,$13.00,$6.69,-48.54%
97,"Nov 11, 2021",LGVC,LAMF Global Ventures I,$10.00,$10.00,0.00%
98,"Nov 11, 2021",LVLU,Lulu's Fashion Lounge Holdings,$16.00,$10.83,-32.31%
99,"Nov 11, 2021",VMGA,VMG Consumer Acquisition,$10.00,$10.07,0.70%
100,"Nov 11, 2021",TIVC,Tivic Health Systems,$5.00,$4.26,-14.80%
101,"Nov 11, 2021",PIK,Kidpik,$8.50,$7.21,-15.13%
102,"Nov 11, 2021",WEAV,Weave Communications,$24.00,$14.67,-38.88%
103,"Nov 11, 2021",WBEV,"Winc, Inc.",$13.00,$5.29,-59.31%
104,"Nov 11, 2021",BEAT,HeartBeam,$6.00,$3.60,-40.00%
105,"Nov 11, 2021",BLZE,Backblaze,$16.00,$18.57,16.06%
106,"Nov 10, 2021",BCSA,Blockchain Coinvestors Acquisition I,$10.00,$10.14,1.40%
107,"Nov 10, 2021",CBRG,Chain Bridge I,$10.00,$10.09,0.85%
108,"Nov 10, 2021",BJDX,Bluejay Diagnostics,$10.00,$3.26,-67.40%
109,"Nov 10, 2021",CINT,CI&T Inc.,$15.00,$12.69,-15.40%
110,"Nov 10, 2021",EXFY,Expensify,$27.00,$35.36,30.96%
111,"Nov 10, 2021",RIVN,Rivian Automotive,$78.00,$96.82,24.13%
112,"Nov 10, 2021",RCFA,RCF Acquisition,$10.00,$10.02,0.20%
113,"Nov 10, 2021",AFAC,Arena Fortify Acquisition,$10.00,$10.14,1.40%
114,"Nov 10, 2021",ACDI,Ascendant Digital Acquisition III,$10.00,$10.07,0.65%
115,"Nov 9, 2021",TCBX,Third Coast Bancshares,$25.00,$26.33,5.32%
116,"Nov 9, 2021",STRN,Stran & Company,$4.15,$5.90,42.17%
117,"Nov 9, 2021",SOPA,Society Pass,$9.00,$10.63,18.11%
118,"Nov 9, 2021",HTAQ,Hunt Companies Acquisition I,$10.00,$10.12,1.20%
119,"Nov 9, 2021",GVCI,Green Visor Financial Technology Acquisition I,$10.00,$10.06,0.57%
120,"Nov 9, 2021",DPCS,DP Cap Acquisition I,$10.00,$10.03,0.30%
121,"Nov 9, 2021",OLIT,OmniLit Acquisition,$10.00,$10.06,0.60%
122,"Nov 9, 2021",PRM,Perimeter Solutions,$0.00,$12.84,0.00%
123,"Nov 9, 2021",APN,Apeiron Capital Investment,$10.00,$10.06,0.55%
124,"Nov 8, 2021",LYLT,Loyalty Ventures,$0.00,$30.03,0.00%
125,"Nov 5, 2021",CIAN,Cian PLC,$16.00,$12.26,-23.38%
126,"Nov 5, 2021",NPAB,New Providence Acquisition II,$10.00,$10.12,1.20%
127,"Nov 5, 2021",RRAC,Rigel Resource Acquisition,$10.00,$10.04,0.40%
128,"Nov 5, 2021",MYNZ,Mainz Biomed B.V.,$5.00,$9.21,84.20%
129,"Nov 5, 2021",TSVT,2seventy bio,$0.00,$30.04,0.00%
130,"Nov 5, 2021",IQMD,Intelligent Medicine Acquisition,$10.00,$10.18,1.80%
131,"Nov 5, 2021",SVNA,7 Acquisition,$10.00,$10.03,0.30%
132,"Nov 5, 2021",RGF,Real Good Food Company,$12.00,$5.73,-52.25%
133,"Nov 5, 2021",MCAA,Mountain & Co. I Acquisition,$10.00,$10.14,1.40%
134,"Nov 5, 2021",IOBT,IO Biotech,$14.00,$8.26,-41.00%
135,"Nov 4, 2021",MDXH,MDxHealth,$13.46,$9.47,-29.64%
136,"Nov 4, 2021",LION,Lionheart III,$10.00,$9.99,-0.10%
137,"Nov 4, 2021",JUN,Juniper II,$10.00,$10.08,0.80%
138,"Nov 4, 2021",SHCA,Spindletop Health Acquisition,$10.00,$10.05,0.50%
139,"Nov 4, 2021",FNVT,Finnovate Acquisition,$10.00,$10.10,1.00%
140,"Nov 4, 2021",TOAC,Talon 1 Acquisition,$10.00,$10.15,1.50%
141,"Nov 4, 2021",MPRA,Mercato Partners Acquisition,$10.00,$10.07,0.70%
142,"Nov 4, 2021",DHAC,Digital Health Acquisition,$10.00,$10.18,1.80%
143,"Nov 4, 2021",CDRE,Cadre Holdings,$13.00,$20.67,59.00%
144,"Nov 4, 2021",KD,Kyndryl Holdings,$0.00,$18.02,0.00%
145,"Nov 4, 2021",NRDS,NerdWallet,$18.00,$14.96,-16.89%
146,"Nov 4, 2021",EVO,Evotec SE,$26.16,$22.40,-14.37%
147,"Nov 4, 2021",SZZL,Sizzle Acquisition,$10.00,$10.04,0.40%
148,"Nov 4, 2021",CNDB,Concord Acquisition III,$10.00,$10.22,2.20%
149,"Nov 4, 2021",LGST,Semper Paratus Acquisition,$10.00,$10.09,0.90%
150,"Nov 4, 2021",ARHS,Arhaus,$13.00,$10.99,-15.46%
151,"Nov 3, 2021",INTE,Integral Acquisition 1,$10.00,$9.96,-0.40%
152,"Nov 3, 2021",FRLA,Fortune Rise Acquisition,$10.00,$10.07,0.70%
153,"Nov 3, 2021",TRAQ,Trine II Acquisition,$10.00,$10.04,0.35%
154,"Nov 3, 2021",MLAI,McLaren Technology Acquisition,$10.00,$10.07,0.65%
155,"Nov 3, 2021",CMTG,Claros Mortgage Trust,$18.65,$16.10,-13.67%
156,"Nov 3, 2021",BIRD,Allbirds,$15.00,$14.45,-3.67%
157,"Nov 3, 2021",ONYX,Onyx Acquisition Co. I,$10.00,$10.13,1.30%
158,"Nov 3, 2021",TGVC,TG Venture Acquisition,$10.00,$10.24,2.40%
159,"Nov 1, 2021",VSAC,Vision Sensing Acquisition,$10.00,$10.08,0.80%
160,"Nov 1, 2021",LIAN,LianBio,$16.00,$7.47,-53.31%
161,"Nov 1, 2021",LIBY,Liberty Resources Acquisition,$10.00,$10.17,1.70%
162,"Oct 29, 2021",CCTS,Cactus Acquisition 1,$10.00,$10.04,0.40%
163,"Oct 29, 2021",PEGR,Project Energy Reimagined Acquisition,$10.00,$9.93,-0.70%
164,"Oct 29, 2021",HRT,HireRight Holdings,$19.00,$13.46,-29.16%
165,"Oct 29, 2021",SEDA,SDCL EDGE Acquisition,$10.00,$9.90,-1.00%
166,"Oct 29, 2021",BFRI,Biofrontera,$5.00,$11.03,120.60%
167,"Oct 29, 2021",AIRS,AirSculpt Technologies,$11.00,$13.74,24.91%
168,"Oct 29, 2021",TRDA,Entrada Therapeutics,$20.00,$14.78,-26.10%
169,"Oct 29, 2021",SONX,Sonendo,$12.00,$6.75,-43.75%
170,"Oct 29, 2021",AEAE,AltEnergy Acquisition,$10.00,$10.12,1.20%
171,"Oct 29, 2021",AURA,Aura Biosciences,$14.00,$15.01,7.21%
172,"Oct 29, 2021",ARCK,Arbor Rapha Capital Bioholdings I,$10.00,$10.10,1.00%
173,"Oct 29, 2021",UDMY,Udemy,$29.00,$17.20,-40.69%
174,"Oct 28, 2021",ADAL,Anthemis Digital Acquisitions I,$10.00,$10.14,1.40%
175,"Oct 28, 2021",PCCT,Perception Capital II,$10.00,$10.13,1.30%
176,"Oct 28, 2021",DTC,Solo Brands,$17.00,$14.20,-16.47%
177,"Oct 28, 2021",FLNC,Fluence Energy,$28.00,$31.92,14.00%
178,"Oct 28, 2021",GFS,GlobalFoundries,$47.00,$62.24,32.43%
179,"Oct 28, 2021",SCMA,Seaport Calibre Materials Acquisition,$10.00,$10.03,0.30%
180,"Oct 28, 2021",FIAC,Focus Impact Acquisition,$10.00,$10.06,0.60%
181,"Oct 27, 2021",PHYT,Pyrophyte Acquisition,$10.00,$10.15,1.50%
182,"Oct 27, 2021",INFA,Informatica,$29.00,$35.48,22.34%
183,"Oct 27, 2021",RENT,Rent The Runway,$21.00,$8.86,-57.81%
184,"Oct 27, 2021",USCT,TKB Critical Technologies 1,$10.00,$10.05,0.50%
185,"Oct 27, 2021",DMAQ,Deep Medicine Acquisition,$10.00,$9.86,-1.40%
186,"Oct 27, 2021",IOAC,Innovative International Acquisition,$10.00,$10.12,1.20%
187,"Oct 27, 2021",MRAI,Marpai,$4.00,$4.30,7.50%
188,"Oct 27, 2021",AIP,Arteris,$14.00,$19.68,40.57%
189,"Oct 27, 2021",OHAA,OPY Acquisition I,$10.00,$9.99,-0.10%
190,"Oct 27, 2021",LVAC,LAVA Medtech Acquisition,$10.00,$10.20,2.00%
191,"Oct 22, 2021",PGSS,Pegasus Digital Mobility Acquisition,$10.00,$10.07,0.70%
192,"Oct 22, 2021",ICNC,Iconic Sports Acquisition,$10.00,$9.90,-1.00%
193,"Oct 22, 2021",ARIS,Aris Water Solutions,$13.00,$10.94,-15.85%
194,"Oct 22, 2021",UTRS,Minerva Surgical,$12.00,$4.58,-61.83%
195,"Oct 22, 2021",GET,Getnet Adquirencia E Servicos Para Meios De Pagamento,$0.00,$1.17,0.00%
196,"Oct 22, 2021",XLO,Xilio Therapeutics,$16.00,$11.61,-27.44%
197,"Oct 22, 2021",MBSC,M3-Brigade Acquisition III,$10.00,$10.00,0.00%
198,"Oct 21, 2021",RWAY,Runway Growth Finance,$14.60,$13.18,-9.73%
199,"Oct 21, 2021",NHIC,NewHold Investment II,$10.00,$9.99,-0.10%
200,"Oct 21, 2021",GTAC,Global Technology Acquisition I,$10.00,$9.83,-1.70%
201,"Oct 21, 2021",PX,"P10, Inc.",$12.00,$12.30,2.50%
202,"Oct 21, 2021",COCO,The Vita Coco Company,$15.00,$10.90,-27.33%
203,"Oct 21, 2021",ENFN,Enfusion,$17.00,$18.57,9.24%
204,"Oct 21, 2021",GOGN,GoGreen Investments,$10.00,$10.15,1.50%
205,"Oct 21, 2021",XFIN,ExcelFin Acquisition,$10.00,$10.03,0.30%
206,"Oct 21, 2021",VTYX,Ventyx Biosciences,$16.00,$15.14,-5.38%
207,"Oct 21, 2021",THAC,Thrive Acquisition,$10.00,$9.89,-1.10%
208,"Oct 21, 2021",PTLO,Portillo's,$20.00,$33.88,69.40%
209,"Oct 21, 2021",ENER,Accretion Acquisition,$10.00,$9.75,-2.50%
210,"Oct 20, 2021",WWAC,Worldwide Webb Acquisition,$10.00,$9.95,-0.50%
211,"Oct 20, 2021",CNTX,Context Therapeutics,$5.00,$3.12,-37.60%
212,"Oct 20, 2021",NCAC,Newcourt Acquisition,$10.00,$9.89,-1.10%
213,"Oct 20, 2021",ESAC,ESGEN Acquisition,$10.00,$10.15,1.50%
214,"Oct 20, 2021",SDIG,Stronghold Digital Mining,$19.00,$11.04,-41.89%
215,"Oct 20, 2021",AXH,Industrial Human Capital,$10.00,$9.90,-1.00%
216,"Oct 20, 2021",CYN,Cyngn,$7.50,$4.84,-35.47%
217,"Oct 20, 2021",ACAQ,Athena Consumer Acquisition,$10.00,$10.14,1.40%
218,"Oct 19, 2021",SMAP,SportsMap Tech Acquisition,$10.00,$9.81,-1.90%
219,"Oct 19, 2021",ENTF,Enterprise 4.0 Technology Acquisition,$10.00,$10.10,0.98%
220,"Oct 19, 2021",FEXD,Fintech Ecosystem Development,$10.00,$10.22,2.20%
221,"Oct 19, 2021",BMAQ,Blockchain Moon Acquisition,$10.00,$9.75,-2.50%
222,"Oct 18, 2021",OZ,"Belpointe PREP, LLC",$0.00,$100.04,0.00%
223,"Oct 15, 2021",SANB,Sanaby Health Acquisition I,$10.00,$9.91,-0.90%
224,"Oct 15, 2021",AVHI,Achari Ventures Holdings I,$10.00,$9.86,-1.40%
225,"Oct 15, 2021",INKT,MiNK Therapeutics,$12.00,$4.45,-62.92%
226,"Oct 15, 2021",CDAQ,Compass Digital Acquisition,$10.00,$9.67,-3.30%
227,"Oct 15, 2021",PEPL,PepperLime Health Acquisition,$10.00,$9.75,-2.50%
228,"Oct 15, 2021",FNA,Paragon 28,$16.00,$13.96,-12.75%
229,"Oct 15, 2021",FOUN,Founder SPAC,$10.00,$9.94,-0.60%
230,"Oct 14, 2021",BMAC,Black Mountain Acquisition,$10.00,$9.86,-1.40%
231,"Oct 14, 2021",TRIS,Tristar Acquisition I,$10.00,$9.73,-2.70%
232,"Oct 14, 2021",LUCD,Lucid Diagnostics,$14.00,$5.00,-64.29%
233,"Oct 14, 2021",GTLB,GitLab,$77.00,$94.84,23.17%
234,"Oct 14, 2021",IHS,IHS Holding,$21.00,$13.14,-37.43%
235,"Oct 14, 2021",ROSE,Rose Hill Acquisition,$10.00,$9.93,-0.70%
236,"Oct 13, 2021",FATP,Fat Projects Acquisition,$10.00,$9.74,-2.60%
237,"Oct 13, 2021",HCTI,Healthcare Triangle,$4.00,$1.68,-58.00%
238,"Oct 13, 2021",CLST,Catalyst Bancorp,$0.00,$14.05,0.00%
239,"Oct 13, 2021",AVDX,AvidXchange Holdings,$25.00,$15.41,-38.36%
240,"Oct 12, 2021",GIAC,Gesher I Acquisition,$10.00,$9.78,-2.20%
241,"Oct 8, 2021",SAMA,Schultze Special Purpose Acquisition II,$10.00,$9.88,-1.20%
242,"Oct 8, 2021",CGTX,Cognition Therapeutics,$12.00,$5.47,-54.42%
243,"Oct 8, 2021",ISO,IsoPlexis,$15.00,$6.90,-54.00%
244,"Oct 8, 2021",HWKZ,Hawks Acquisition,$10.00,$9.70,-3.00%
245,"Oct 8, 2021",JMAC,Jade Mountain Acquisition,$10.00,$9.92,-0.80%
246,"Oct 8, 2021",CCSI,Consensus Cloud Solutions,$0.00,$57.05,0.00%
247,"Oct 8, 2021",LCW,Learn CW Investment,$10.00,$10.01,0.10%
248,"Oct 7, 2021",LTH,Life Time Group Holdings,$18.00,$17.03,-5.39%
249,"Oct 7, 2021",TCN,Tricon Residential,$12.40,$14.37,15.89%
250,"Oct 7, 2021",THRX,Theseus Pharmaceuticals,$16.00,$9.50,-40.63%
251,"Oct 7, 2021",IXAQ,IX Acquisition,$10.00,$9.70,-3.00%
252,"Oct 6, 2021",PCX,Parsec Capital Acquisitions,$10.00,$10.18,1.80%
253,"Oct 6, 2021",NFYS,Enphys Acquisition,$10.00,$9.66,-3.40%
254,"Oct 6, 2021",PBAX,Phoenix Biotech Acquisition,$10.00,$9.90,-1.00%
255,"Oct 6, 2021",VLCN,Volcon,$5.50,$9.08,65.09%
256,"Oct 6, 2021",NVEI,Nuvei,$123.14,$60.35,-50.99%
257,"Oct 6, 2021",AVAC,Avalon Acquisition,$10.00,$9.87,-1.30%
258,"Oct 5, 2021",CION,CĪON Investment,$0.00,$12.51,0.00%
259,"Oct 5, 2021",RNER,Mount Rainier Acquisition,$10.00,$10.15,1.50%
260,"Oct 5, 2021",BHAC,Crixus BH3 Acquisition,$10.00,$9.75,-2.50%
261,"Oct 1, 2021",DMYS,"dMY Technology Group, Inc. VI",$10.00,$9.83,-1.70%
262,"Oct 1, 2021",MTRY,Monterey Bio Acquisition,$10.00,$9.87,-1.30%
263,"Oct 1, 2021",GATE,Marblegate Acquisition,$10.00,$9.77,-2.30%
264,"Oct 1, 2021",TDCX,"TDCX, Inc.",$18.00,$16.99,-5.61%
265,"Oct 1, 2021",FWRG,First Watch Restaurant Group,$18.00,$15.35,-14.72%
266,"Oct 1, 2021",EXAI,Exscientia,$22.00,$19.15,-12.95%
267,"Oct 1, 2021",SLVM,Sylvamo,$0.00,$27.37,0.00%
268,"Oct 1, 2021",PYXS,Pyxis Oncology,$16.00,$8.59,-46.31%
269,"Sep 30, 2021",OLPX,Olaplex Holdings,$21.00,$24.90,18.57%
270,"Sep 30, 2021",ARTE,Artemis Strategic Investment,$10.00,$9.92,-0.80%
271,"Sep 30, 2021",HPLT,Home Plate Acquisition,$10.00,$9.73,-2.70%
272,"Sep 29, 2021",WRBY,Warby Parker,$40.00,$48.34,20.85%
273,"Sep 29, 2021",HCVI,Hennessy Capital Investment VI,$10.00,$9.66,-3.40%
274,"Sep 29, 2021",MEKA,MELI Kaszek Pioneer,$10.00,$11.35,13.50%
275,"Sep 28, 2021",PRBM,Parabellum Acquisition,$10.00,$9.76,-2.45%
276,"Sep 28, 2021",AMPL,Amplitude,$35.00,$54.08,54.51%
277,"Sep 28, 2021",BACA,Berenson Acquisition I,$10.00,$9.72,-2.80%
278,"Sep 24, 2021",GIA,GigCapital5,$10.00,$9.87,-1.30%
279,"Sep 24, 2021",DSAQ,Direct Selling Acquisition,$10.00,$9.92,-0.82%
280,"Sep 24, 2021",HLTH,Cue Health,$16.00,$11.75,-26.56%
281,"Sep 24, 2021",CWAN,Clearwater Analytics Holdings,$18.00,$20.46,13.67%
282,"Sep 23, 2021",SOVO,Sovos Brands,$12.00,$14.06,17.17%
283,"Sep 23, 2021",ARBK,Argo Blockchain,$15.00,$12.35,-17.67%
284,"Sep 23, 2021",STER,Sterling Check,$23.00,$19.75,-14.13%
285,"Sep 23, 2021",RELY,Remitly Global,$43.00,$19.70,-54.19%
286,"Sep 23, 2021",ESMT,EngageSmart,$26.00,$23.10,-11.15%
287,"Sep 23, 2021",THRN,Thorne HealthTech,$10.00,$5.26,-47.40%
288,"Sep 23, 2021",LOCC,Live Oak Crestview Climate Acquisition,$10.00,$9.65,-3.50%
289,"Sep 23, 2021",BRLT,Brilliant Earth Group,$12.00,$14.94,24.50%
290,"Sep 22, 2021",IPAX,Inflection Point Acquisition,$10.00,$9.69,-3.10%
291,"Sep 22, 2021",TOST,Toast,$40.00,$37.64,-5.90%
292,"Sep 22, 2021",ARGU,Argus Capital,$10.00,$9.90,-1.00%
293,"Sep 22, 2021",VBNK,VersaBank,$10.00,$11.53,15.30%
294,"Sep 22, 2021",FRSH,Freshworks,$36.00,$29.45,-18.19%
295,"Sep 22, 2021",AKA,a.k.a. Brands Holding,$11.00,$8.67,-21.18%
296,"Sep 21, 2021",HHGC,HHG Capital,$10.00,$9.87,-1.30%
297,"Sep 16, 2021",ACT,Enact Holdings,$19.00,$19.60,3.16%
298,"Sep 16, 2021",FLYA,Soar Technology Acquisition,$10.00,$10.04,0.40%
299,"Sep 16, 2021",FORG,ForgeRock,$25.00,$22.58,-9.68%
300,"Sep 15, 2021",BROS,Dutch Bros,$23.00,$49.14,113.65%
301,"Sep 15, 2021",KTTA,Pasithea Therapeutics,$5.00,$1.58,-68.40%
302,"Sep 15, 2021",PRCT,PROCEPT BioRobotics,$25.00,$26.62,6.48%
303,"Sep 15, 2021",TWKS,Thoughtworks Holding,$21.00,$25.30,20.48%
304,"Sep 15, 2021",EDNC,Endurance Acquisition,$10.00,$9.85,-1.50%
305,"Sep 15, 2021",DH,Definitive Healthcare,$27.00,$28.01,3.74%
306,"Sep 15, 2021",WINV,WinVest Acquisition,$10.00,$9.82,-1.80%
307,"Sep 15, 2021",EZFL,EzFill Holdings,$4.00,$1.67,-58.25%
308,"Sep 15, 2021",CIIG,CIIG Capital Partners II,$10.00,$9.88,-1.20%
309,"Sep 15, 2021",SIER,Sierra Lake Acquisition,$10.00,$9.78,-2.20%
310,"Sep 15, 2021",DICE,DICE Therapeutics,$17.00,$23.42,37.76%
311,"Sep 15, 2021",AEHA,Aesther Healthcare Acquisition,$10.00,$9.98,-0.20%
312,"Sep 15, 2021",TYRA,Tyra Biosciences,$16.00,$12.43,-22.31%
313,"Sep 15, 2021",ONON,On Holding AG,$24.00,$37.58,56.58%
314,"Sep 14, 2021",SRAD,Sportradar Group AG,$27.00,$18.88,-30.07%
315,"Sep 14, 2021",PAFO,Pacifico Acquisition,$10.00,$9.92,-0.80%
316,"Sep 13, 2021",SGML,Sigma Lithium,$0.00,$9.80,0.00%
